episode,return_mean
36936,0.8383
36960,0.8883
36984,0.9476
37008,0.8077
37032,0.7615
37056,0.6305
37080,0.9122
37104,0.9322
37128,0.8837
37152,0.737
37176,0.849
37200,0.609
37224,0.549
37248,0.626
37272,0.7427
37296,1.0961
37320,1.0539
37344,1.0722
37368,1.0422
37392,0.9533
37416,0.5362
37440,0.6196
37464,0.7943
37488,0.8091
37512,0.8277
37536,0.8858
37560,0.8917
37584,0.8743
37608,1.0564
37632,1.0651
37656,1.2576
37680,1.1519
37704,0.9363
37728,0.7728
37752,0.8565
37776,0.7082
37800,0.9185
37824,1.2106
37848,1.2658
37872,1.2217
37896,1.1202
37920,0.8403
37944,0.6692
37968,0.7026
37992,0.6728
38016,0.6467
38040,0.7767
38064,0.8161
38088,0.8526
38112,0.8714
38136,0.8196
38160,0.8042
38184,0.7465
38208,0.5058
38232,0.7182
38256,0.7233
38280,0.8114
38304,0.6385
38328,0.8095
38352,0.6088
38376,0.6906
38400,0.4377
38424,0.6013
38448,0.3684
38472,0.4379
38496,0.4548
38520,0.5223
38544,0.5013
38568,0.8206
38592,0.813
38616,0.7639
38640,0.686
38664,0.716
38688,0.6094
38712,0.4859
38736,0.63
38760,0.8461
38784,0.6889
38808,0.7035
38832,0.6636
38856,0.3649
38880,0.2523
38904,0.5565
38928,0.6755
38952,0.8462
38976,0.8162
39000,0.7927
39024,0.4852
39048,0.3118
39072,0.296
39096,0.3653
39120,0.5696
39144,0.7816
39168,0.6572
39192,0.4505
39216,0.5954
39240,0.7378
39264,0.751
39288,0.7913
39312,0.9298
39336,0.9642
39360,0.7948
39384,0.6981
39408,0.8002
39432,0.807
39456,0.6913
39480,0.6181
39504,0.6986
39528,0.6023
39552,0.5972
39576,0.7949
39600,0.8231
39624,0.732
39648,0.8193
39672,0.922
39696,0.7755
39720,0.8064
39744,0.9935
39768,0.9718
39792,0.9998
39816,1.0008
39840,1.2643
8,0.9808
32,0.8231
56,0.6603
80,0.4476
104,0.0643
128,0.0794
152,-0.114
176,0.017
200,0.1612
224,0.31
248,0.2829
272,0.4457
296,0.4272
320,0.5121
344,0.5395
368,0.6406
392,0.7353
416,0.736
440,0.6006
464,0.6652
488,0.6347
512,0.5924
536,0.5584
560,0.7453
584,0.6753
608,0.5485
632,0.6321
656,0.6917
680,0.4813
704,0.386
728,0.512
752,0.3825
776,0.3857
800,0.585
824,0.6657
848,0.6624
872,0.7318
896,0.658
920,0.3923
944,0.4054
968,0.5108
992,0.47
1016,0.4355
1040,0.5624
1064,0.5023
1088,0.1886
1112,0.078
1136,0.0378
1160,0.0585
1184,0.1885
1208,0.377
1232,0.4395
1256,0.3901
1280,0.4682
1304,0.3551
1328,0.1654
1352,0.2754
1376,0.2754
1400,0.0766
1424,0.1029
1448,0.3751
1472,0.2712
1496,0.5146
1520,0.7298
1544,0.7942
1568,0.5455
1592,0.614
1616,0.4876
1640,0.5034
1664,0.4208
1688,0.4894
1712,0.4649
1736,0.5161
1760,0.5223
1784,0.4811
1808,0.5485
1832,0.5178
1856,0.4919
1880,0.4471
1904,0.6571
1928,0.6256
1952,0.6894
1976,0.5602
2000,0.6543
2024,0.5148
2048,0.5282
2072,0.631
2096,0.7219
2120,0.9474
2144,1.0635
2168,1.022
2192,0.9147
2216,1.2146
2240,0.7124
2264,0.4986
2288,0.6872
2312,0.5819
2336,0.2983
2360,0.3829
2384,0.7093
2408,0.58
2432,0.764
2456,1.0662
2480,1.1206
2504,1.062
2528,1.4837
2552,1.3355
2576,1.4313
2600,1.4155
