episode,return_mean
39088,-17.4921
39120,-16.7764
39152,-17.6075
39176,-13.7891
39200,-13.8032
39232,-14.6465
39264,-15.2665
39288,-13.7584
39312,-14.706
39344,-14.2906
39368,-14.3289
39392,-11.6628
39424,-11.9707
39448,-11.1906
39480,-11.5659
39504,-10.371
39536,-11.2968
39560,-12.3681
39584,-13.7666
39608,-12.5083
39632,-12.9841
39656,-12.3226
39680,-12.2487
39712,-13.119
39744,-14.8053
39776,-15.9488
39808,-17.1279
39840,-16.711
39872,-15.6208
39904,-14.639
39936,-13.6354
39960,-12.0238
39992,-14.2024
40024,-14.3892
40056,-13.4752
40080,-12.6126
40112,-14.0955
40144,-11.5358
40176,-12.776
40216,-14.9895
40248,-15.5982
40280,-17.2543
40320,-18.8234
40352,-19.5078
40384,-17.9032
40416,-17.9522
40448,-14.7927
40480,-14.5224
40520,-14.2801
40552,-15.3951
40584,-17.0598
40616,-19.7899
40648,-21.0173
40680,-20.0614
40712,-21.0562
40752,-21.5734
40784,-22.1228
40816,-21.8344
40848,-22.1138
40888,-23.3688
40920,-21.0646
40952,-20.645
40984,-20.4906
41016,-20.9526
41048,-19.3346
41088,-21.1341
41120,-20.6007
41160,-21.3553
41208,-23.095
41248,-25.1651
41288,-26.0133
41328,-28.0509
41368,-27.6039
41400,-25.1144
41432,-23.5795
41464,-22.8429
41504,-22.4963
41536,-22.7073
41584,-25.4856
41616,-25.4979
41664,-27.1363
41704,-25.2239
41736,-24.6516
41776,-24.248
41816,-25.91
41848,-24.8739
41888,-26.3073
41920,-25.6791
41960,-23.9314
42000,-23.0179
42040,-22.5757
42072,-21.6711
42112,-22.99
42144,-21.5984
42176,-20.312
42216,-19.7377
42256,-20.3391
42296,-20.6173
42336,-22.9105
42376,-23.9805
42408,-24.6596
42440,-23.8881
42472,-22.189
42504,-22.0952
42536,-22.2767
42568,-22.172
42600,-21.1872
42632,-21.5731
42664,-19.7144
42704,-18.3041
42744,-18.6968
42776,-19.0432
42808,-18.0411
42848,-19.7734
42880,-20.3229
42912,-19.1545
42944,-19.3329
42984,-21.8228
43016,-20.6506
43056,-20.4591
43088,-20.6392
43120,-20.4555
43152,-18.2691
43192,-19.3283
43224,-19.6256
43256,-20.359
43288,-21.4627
43320,-22.2391
43360,-23.2839
43392,-21.6559
43424,-20.6251
43456,-19.0829
43488,-19.4365
43520,-16.3992
43552,-17.4608
43584,-16.3984
43624,-17.0028
43656,-15.9952
43688,-16.8575
43720,-15.9979
43752,-16.9753
43784,-17.2318
43816,-17.0685
43848,-15.6398
43880,-16.5059
43912,-15.6388
43944,-14.4885
43976,-14.4034
44008,-16.3242
44032,-14.66
44064,-15.9091
44096,-16.5627
44120,-14.6373
44152,-13.8094
44184,-15.8828
44216,-14.6713
44248,-14.5026
44280,-16.1743
44304,-15.7666
44336,-14.0787
44368,-13.5738
44392,-12.9308
44424,-13.4079
44456,-14.1177
44488,-13.7941
44520,-13.8152
44552,-15.2486
44576,-14.1251
44608,-14.1189
44640,-15.1656
44672,-17.0299
44704,-16.3018
44736,-20.1626
44776,-22.3774
44816,-23.2786
44848,-23.6396
44872,-21.9627
44904,-19.4556
44936,-18.2987
44968,-16.4526
45000,-13.7378
45032,-15.7695
45064,-14.6569
45096,-15.6111
45128,-16.7767
45160,-18.5296
45200,-19.3063
45232,-21.0638
45272,-20.0109
45304,-21.0211
45344,-22.0202
45384,-22.548
45424,-22.9475
45456,-21.5955
45488,-20.3025
45520,-19.0828
45552,-18.5667
45584,-18.266
45616,-18.5281
45648,-17.9471
45680,-17.495
45712,-16.7471
45744,-16.9473
45776,-16.4844
45808,-16.6213
45840,-17.5426
45864,-15.0569
45888,-12.8271
45912,-12.3029
45936,-9.4365
45968,-9.6798
46000,-10.7865
46024,-10.1056
46056,-13.6513
46080,-15.6557
46112,-15.0498
46144,-15.7204
46176,-16.7731
46200,-12.7334
46232,-14.5044
46264,-13.1753
46296,-14.3865
46328,-15.1979
46360,-18.179
46392,-18.3248
46424,-20.1548
46456,-18.6173
46488,-19.0826
46520,-19.6868
46552,-18.78
46584,-19.5749
46616,-20.5489
46648,-20.5529
46680,-19.4165
46712,-19.4452
46744,-19.0732
46776,-19.1666
46808,-18.1333
46840,-16.5995
46872,-16.579
46904,-15.0735
46936,-13.4504
46968,-13.2138
47000,-13.7316
47024,-11.82
47048,-11.8987
47080,-13.1332
47112,-14.2454
47144,-13.6789
47176,-15.9618
47208,-15.6788
47232,-15.0348
47264,-15.9654
47296,-15.4142
47320,-14.2638
47352,-14.5329
47384,-15.8904
47416,-16.4739
47448,-17.1592
47480,-17.4794
47512,-18.5815
47536,-16.3819
47568,-13.2371
47600,-12.9697
47632,-14.4884
47656,-12.5394
47688,-13.4038
47712,-11.9443
47744,-11.5691
47768,-9.1171
47800,-10.4427
47824,-8.496
47848,-9.7412
47872,-9.3431
47904,-10.4121
47936,-11.5091
47968,-15.1749
48000,-15.151
48032,-16.0672
48064,-16.6249
48096,-13.7441
48128,-14.1809
48152,-16.027
48184,-17.419
48216,-17.9899
48248,-19.1986
48280,-17.9511
48312,-16.9402
48352,-18.2211
48384,-18.7747
48424,-19.8293
48456,-19.7264
